MonthlyDisposableIncome,MonthlyLoanInstallment,YearOfBirth,Collateral,MaritalStatus,DaysPastDue
5112,1090,'1977',No,0,0
5536,1193,'1963',No,1,92
3894,1287,'1980',Yes,1,0
2697,831,'1978',Yes,1,53
3336,995,'1975',No,0,0
4490,1292,'1985',Yes,0,0
3459,667,'1981',Yes,1,0
2597,925,'1982',Yes,0,0
4014,1160,'1981',Yes,0,0
3156,1123,'1982',Yes,0,0
1514,609,'1982',No,1,100
3597,917,'1986',No,1,0
4197,1018,'1984',Yes,1,0
3427,906,'1967',No,1,0
4864,1360,'1989',No,1,93
3188,978,'1990',Yes,1,0
4744,962,'1974',No,1,0
4410,1270,'1979',Yes,1,0
1873,768,'1982',Yes,1,36
3738,1185,'1987',Yes,0,0
3513,969,'1981',Yes,1,0
2705,1311,'1953',No,1,103
1742,1260,'1984',Yes,1,107
1875,1110,'1990',No,0,102
2185,912,'1979',No,0,94
5156,1204,'1984',No,1,0
4181,1244,'1987',Yes,1,0
4263,854,'1980',No,0,0
3844,1089,'1990',Yes,1,0
2864,1227,'1979',No,0,93
4271,1033,'1975',No,1,68
2894,1027,'1980',Yes,1,0
3674,1325,'1992',Yes,1,60
3418,1366,'1967',Yes,1,42
2173,731,'1976',Yes,0,35
1119,783,'1995',Yes,1,105
2646,898,'1982',Yes,1,0
2062,1122,'1994',No,1,101
3539,1037,'1991',Yes,0,0
2811,1191,'1974',Yes,1,20
2719,850,'1996',Yes,1,0
4610,1332,'1974',Yes,1,0
3496,833,'1973',Yes,0,0
3100,820,'1987',No,0,0
4975,1211,'1985',Yes,0,0
3592,787,'1980',Yes,1,0
5268,1338,'1965',Yes,1,0
2768,1385,'1979',Yes,1,97
3621,923,'1983',Yes,1,0
3169,1111,'1985',Yes,1,0
4208,982,'1983',Yes,1,0
2826,1361,'1963',No,1,98
3796,1147,'1988',Yes,1,0
5024,1202,'1985',Yes,1,0
3585,1239,'1981',Yes,1,67
2635,918,'1988',No,1,97
2981,870,'1977',No,0,0
3605,1015,'1986',No,0,0
3001,1327,'1993',No,0,96
3083,902,'1960',Yes,1,0
4606,1028,'1988',No,1,0
4349,928,'1990',Yes,0,0
2174,1241,'1974',Yes,1,100
4045,927,'1985',No,1,0
4996,1216,'1995',No,1,68
3415,1355,'1969',No,1,99
3797,1048,'1981',Yes,1,0
5152,1309,'1988',Yes,1,0
1412,890,'1986',No,0,106
2695,1114,'1969',No,1,100
4431,1019,'1942',Yes,1,83
2779,998,'1971',Yes,0,73
4152,899,'1982',No,1,0
1837,890,'1957',No,1,101
4151,818,'1971',No,0,0
4591,1106,'1971',No,1,0
1660,1148,'1990',No,0,108
4508,1139,'1989',Yes,1,0
3096,941,'1980',No,0,0
4516,953,'1993',Yes,0,0
5071,757,'1977',Yes,1,0
2450,1058,'1966',No,1,99
4652,1425,'1981',Yes,0,0
3053,785,'1959',Yes,1,0
3151,950,'1977',No,0,0
1226,972,'1994',Yes,0,108
2977,1323,'1989',Yes,1,95
3852,1362,'1978',No,0,0
951,820,'1984',Yes,0,112
3212,995,'1965',Yes,0,0
2676,1079,'1979',Yes,0,50
6397,1576,'1977',Yes,1,0
4157,1107,'1990',Yes,1,0
3498,1093,'1980',Yes,1,0
2753,1170,'1991',No,1,98
2684,462,'1973',No,1,0
4640,957,'1988',No,1,0
2433,836,'1994',No,0,73
2420,839,'1987',No,0,85
2585,979,'1975',Yes,1,0
4495,1270,'1935',Yes,1,92
3752,1161,'1984',Yes,1,0
4802,1241,'1980',Yes,1,0
3827,767,'1990',No,1,0
2774,1144,'1981',No,1,92
1706,1026,'1956',Yes,1,103
2630,998,'1988',Yes,1,0
3423,1328,'1987',Yes,1,91
3347,1279,'1957',Yes,1,67
1499,1103,'1981',No,1,109
3223,1190,'1967',Yes,1,0
4338,970,'1979',No,1,0
4775,1325,'1961',Yes,1,0
4539,996,'1984',No,1,0
4546,795,'1973',Yes,1,0
2009,1020,'1981',Yes,0,97
3592,846,'1982',Yes,0,0
3669,817,'1982',Yes,1,0
4462,1249,'1989',Yes,0,0
3746,1141,'1981',Yes,1,0
3497,948,'1982',Yes,1,0
4071,1143,'1971',No,1,75
3155,998,'1973',No,1,0
4738,1241,'1973',No,0,73
3465,1472,'1987',No,1,96
3062,990,'1977',No,1,91
3828,1284,'1941',No,1,96
4433,1364,'1977',Yes,1,0
2211,863,'1990',No,0,95
1985,774,'1985',Yes,1,0
4980,771,'1987',Yes,1,0
3300,997,'1975',Yes,1,0
3531,1453,'1981',Yes,0,91
3358,815,'1977',No,1,0
1809,728,'1980',Yes,1,0
2029,816,'1942',Yes,1,98
3065,1182,'1962',Yes,1,3
3670,1140,'1995',Yes,0,0
4221,1184,'1977',Yes,1,0
3282,1507,'1989',No,1,102
4444,1352,'1986',Yes,0,0
2514,855,'1969',Yes,1,0
4109,1132,'1962',No,1,76
4014,1220,'1987',Yes,1,0
2864,943,'1978',No,1,92
4426,1682,'1945',Yes,1,92
3981,1152,'1993',No,1,92
3184,1081,'1996',No,1,94
3956,1209,'1988',Yes,1,0
3414,1158,'1984',No,1,0
3415,1164,'1969',Yes,0,0
5136,1039,'1986',No,1,0
3453,1215,'1986',Yes,1,0
2895,871,'1992',Yes,1,0
3305,942,'1976',Yes,1,0
3129,1188,'1993',Yes,1,59
3797,1022,'1968',No,0,0
2002,906,'1986',Yes,1,92
4148,1624,'1987',No,0,96
2507,917,'1992',No,1,94
5347,1126,'1977',Yes,1,0
4522,1244,'1987',No,0,95
3448,1271,'1978',Yes,1,27
5444,1339,'1970',Yes,1,0
4262,846,'1956',Yes,0,0
3477,1433,'1965',Yes,1,92
2150,916,'1969',No,1,99
3579,1487,'1994',Yes,1,0
3360,708,'1991',Yes,1,0
4503,1448,'1976',No,1,73
5315,1097,'1984',Yes,1,0
2226,809,'1972',No,1,93
3711,1225,'1981',Yes,1,0
3339,1280,'1992',Yes,1,0
4281,1168,'1989',No,0,0
3109,680,'1987',Yes,1,0
3551,852,'1985',No,1,0
4373,1436,'1984',No,1,21
3137,1072,'1984',Yes,1,0
2904,1069,'1990',No,1,94
2973,1430,'1974',No,0,101
3521,670,'1988',Yes,1,0
2230,912,'1989',No,1,100
3884,799,'1986',Yes,0,0
4750,1482,'1991',Yes,0,0
541,563,'1984',No,0,123
2710,1008,'1953',Yes,1,0
1871,658,'1978',No,1,43
2351,1012,'1950',No,1,101
2393,892,'1963',No,1,92
2163,868,'1968',Yes,0,92
4308,751,'1978',Yes,1,0
3864,1410,'1974',No,1,94
4291,1532,'1985',Yes,1,0
3512,943,'1963',No,1,0
2200,1284,'1974',No,0,104
2445,458,'1986',No,1,0
4094,1044,'1967',Yes,0,0
4359,1103,'1980',No,1,0
4666,901,'1991',No,0,0
3795,853,'1984',Yes,0,0
2304,721,'1969',Yes,1,0
2152,1002,'1990',Yes,1,95
2629,1028,'1991',Yes,0,0
4269,1001,'1987',Yes,1,0
3894,1217,'1990',Yes,0,0
2890,973,'1981',No,0,0
6329,1460,'1997',No,1,66
5157,987,'1944',Yes,1,0
4658,843,'1987',Yes,1,0
3416,1098,'1975',No,1,7
5291,1095,'1970',No,0,0
4485,1256,'1967',No,1,4
3813,1369,'1981',No,0,54
3974,1583,'1969',Yes,0,92
1845,946,'1980',No,0,97
3380,731,'1982',Yes,1,0
3774,1022,'1981',Yes,0,0
2847,1192,'1993',Yes,1,91
4831,1041,'1987',Yes,1,0
4680,1046,'1935',Yes,0,0
3584,1210,'1986',No,0,87
2696,828,'1981',Yes,1,0
3837,1093,'1975',Yes,0,0
3452,1195,'1982',Yes,0,0
3225,1175,'1994',No,1,96
3136,1346,'1981',No,0,95
4869,1087,'1981',No,1,0
4087,1258,'1960',Yes,1,0
3445,1202,'1962',Yes,1,93
4840,1368,'1984',No,1,79
2120,811,'1956',Yes,1,92
4242,1229,'1990',No,1,93
3384,1041,'1986',Yes,0,0
2672,1271,'1994',Yes,1,94
4405,1206,'1984',Yes,1,0
1572,1126,'1962',Yes,1,103
1649,776,'1985',Yes,1,95
2037,909,'1983',Yes,1,93
3659,1155,'1981',No,0,0
2360,1024,'1977',Yes,1,54
6902,1368,'1983',No,0,0
3406,1221,'1970',No,1,95
3280,1353,'1968',Yes,1,84
3315,1371,'1982',No,1,80
3692,1125,'1965',No,0,91
2280,760,'1982',Yes,1,0
3471,1105,'1967',No,1,0
3492,969,'1974',Yes,1,0
4761,815,'1980',Yes,1,0
1796,1208,'1985',Yes,1,105
2945,1093,'1972',Yes,1,0
5146,914,'1990',Yes,0,0
4152,1024,'1988',No,1,0
5394,1367,'1966',Yes,1,0
3845,1200,'1983',Yes,0,0
2233,693,'1993',Yes,0,0
2873,913,'1985',Yes,1,0
5247,1721,'1977',Yes,1,0
4108,1456,'1986',No,1,91
3183,1162,'1972',No,1,94
4445,1072,'1975',No,1,0
3378,886,'1961',Yes,0,0
3684,1338,'1988',No,1,92
4115,920,'1972',No,1,0
1373,927,'1980',Yes,1,100
2730,1276,'1981',Yes,1,49
3102,964,'1968',Yes,1,24
4452,1404,'1973',Yes,0,0
4137,1179,'1974',No,1,94
3826,980,'1979',No,1,7
2873,1110,'1959',Yes,0,92
4147,1113,'1981',No,1,50
5003,1194,'1954',No,0,17
2732,1424,'1985',No,1,98
4182,1360,'1976',Yes,1,0
4049,917,'1989',No,1,0
2929,959,'1988',Yes,1,0
2037,752,'1995',No,1,96
2747,1197,'1984',Yes,1,93
3671,949,'1992',No,0,52
4656,1197,'1988',No,1,0
3482,905,'1985',No,0,0
1020,792,'1971',Yes,1,0
3157,1175,'1983',Yes,1,0
3676,1179,'1988',Yes,1,0
2903,874,'1969',No,0,93
3125,1154,'1981',Yes,1,0
3505,1288,'1980',No,1,0
2549,1481,'1976',Yes,1,98
4089,847,'1964',Yes,0,0
4678,1385,'1978',No,1,0
4416,1287,'1969',No,1,96
4444,1116,'1991',Yes,1,0
3723,899,'1992',No,1,9
3178,894,'1993',No,1,6
3595,1249,'1977',No,0,95
3882,1171,'1960',Yes,1,0
3215,1279,'1956',No,1,92
3443,1211,'1981',Yes,1,0
3353,1105,'1982',No,0,0
3066,892,'1975',No,1,38
4242,1031,'1969',Yes,1,0
5286,1325,'1990',Yes,1,0
3327,993,'1975',Yes,0,0
3009,1052,'1974',No,1,92
2239,891,'1997',Yes,0,92
4816,1801,'1980',No,1,94
4100,1252,'1982',Yes,1,0
2781,915,'1977',No,0,0
2882,1572,'1994',No,0,104
4674,1096,'1986',No,0,0
2559,1001,'1971',No,1,94
3417,883,'1985',Yes,0,0
5099,1309,'1986',No,1,0
2427,1190,'1985',Yes,1,92
4011,1320,'1977',Yes,1,0
4274,1012,'1971',No,1,0
3710,1548,'1969',Yes,0,93
3837,1414,'1958',Yes,0,59
3493,916,'1990',Yes,1,0
3596,912,'1954',Yes,0,8
3734,1473,'1957',Yes,1,45
4590,875,'1983',Yes,1,0
3821,1045,'1979',Yes,0,0
4486,1298,'1959',No,0,0
954,563,'1969',Yes,0,101
2094,1294,'1954',No,1,109
3050,964,'1983',No,1,26
4442,1334,'1986',Yes,0,0
5647,1316,'1985',No,0,0
3443,1223,'1973',No,0,93
1709,830,'1968',No,0,97
4068,1378,'1983',Yes,0,0
3103,1203,'1989',No,0,92
3850,1416,'1984',No,1,93
4238,1283,'1978',No,1,0
2698,1169,'1990',No,0,94
2203,989,'1974',No,1,93
4766,1373,'1974',Yes,0,0
2379,1106,'1979',No,1,96
4226,1212,'1983',Yes,0,0
4688,1038,'1988',No,0,0
3399,1277,'1988',Yes,0,92
4925,1308,'1979',No,0,11
3748,1180,'1974',No,0,91
2842,1080,'1985',Yes,0,15
3573,1214,'1986',No,1,92
3102,1255,'1985',Yes,1,0
4186,1233,'1984',No,1,0
3303,1022,'1985',No,0,0
3911,833,'1988',Yes,1,0
4193,1244,'1979',Yes,0,0
5158,1301,'1978',Yes,1,0
3661,1279,'1938',Yes,0,94
3748,1317,'1984',Yes,0,0
3918,1078,'1975',Yes,1,0
2662,1085,'1960',No,1,98
2540,1170,'1985',Yes,1,95
3033,866,'1986',No,1,39
4046,1074,'1940',Yes,1,0
1915,859,'1989',Yes,1,64
2777,1076,'1985',No,1,5
5448,1214,'1989',Yes,0,0
2013,801,'1979',Yes,1,0
3434,1037,'1983',Yes,1,0
4323,1402,'1975',No,0,95
2961,1040,'1975',No,0,71
4153,779,'1989',Yes,1,0
2918,1307,'1965',No,1,40
3657,939,'1989',Yes,1,0
3009,1056,'1976',No,1,94
2541,957,'1952',Yes,1,92
3890,992,'1993',Yes,1,0
3771,1304,'1990',No,1,91
3593,927,'1974',Yes,1,0
4064,1247,'1987',Yes,1,0
4091,1357,'1977',Yes,1,0
3929,1315,'1976',Yes,1,0
3884,1148,'1966',Yes,1,0
4656,1160,'1970',No,0,93
3773,785,'1988',Yes,1,0
3632,1351,'1981',No,1,91
4805,1167,'1967',No,0,4
2003,636,'1959',Yes,1,0
3203,1141,'1994',Yes,1,51
4737,986,'1980',No,1,0
4008,1176,'1990',Yes,1,0
5008,1035,'1995',Yes,0,0
4696,885,'1988',No,1,0
4860,1410,'1986',Yes,1,0
3339,1062,'1988',Yes,0,0
3434,1168,'1984',No,1,32
2879,809,'1995',Yes,1,0
3054,828,'1984',Yes,0,0
2667,894,'1983',No,1,91
2898,870,'1980',Yes,1,0
2827,937,'1981',Yes,1,49
4358,1571,'1975',Yes,1,0
4127,718,'1992',Yes,1,0
5097,1276,'1993',Yes,1,0
4448,1076,'1968',No,1,0
2806,1130,'1971',No,0,83
5934,980,'1977',Yes,1,0
4083,1078,'1980',No,0,0
2713,911,'1976',Yes,0,0
3360,648,'1983',Yes,1,0
1882,1440,'1978',Yes,1,110
3428,1016,'1994',Yes,1,0
4011,1210,'1981',Yes,1,0
3320,1110,'1973',Yes,1,0
2666,1413,'1984',Yes,0,95
3475,1077,'1948',No,1,93
3101,712,'1985',Yes,0,0
3334,996,'1991',Yes,0,0
2663,908,'1973',Yes,1,0
3676,775,'1991',Yes,1,0
4032,1185,'1979',No,1,25
4389,1483,'1972',No,1,93
2474,994,'1936',Yes,1,97
4034,1244,'1962',No,1,94
2469,999,'1969',Yes,0,2
2186,1016,'1964',No,1,98
1470,1054,'1976',No,0,110
3890,885,'1994',No,0,0
2753,967,'1985',No,1,52
2810,935,'1988',Yes,1,1
1897,880,'1991',No,1,104
3721,1016,'1973',No,1,5
3644,870,'1988',Yes,1,0
3611,736,'1947',Yes,0,0
4259,1195,'1987',No,0,30
2937,1008,'1968',Yes,0,0
4240,757,'1987',Yes,1,0
3487,1130,'1996',Yes,0,0
3358,1211,'1984',Yes,1,0
3855,1112,'1988',Yes,0,0
4163,1197,'1989',No,1,0
2892,785,'1966',No,1,93
2999,970,'1978',Yes,1,0
4131,1260,'1967',No,0,92
2568,884,'1985',Yes,1,0
1735,1087,'1964',Yes,1,102
1764,918,'1958',Yes,1,96
3291,904,'1978',No,0,0
3702,1009,'1994',Yes,0,0
1724,1077,'1989',Yes,0,103
3523,939,'1996',No,1,0
4532,871,'1983',Yes,0,0
4253,971,'1973',Yes,1,0
1730,1017,'1986',No,1,100
2500,1060,'1981',No,0,91
2893,1078,'1982',Yes,1,39
2332,781,'1985',Yes,0,94
2147,844,'1965',Yes,1,94
3219,1103,'1983',No,0,62
3276,864,'1988',Yes,0,0
3440,1238,'1990',Yes,1,0
3371,914,'1989',Yes,1,0
3937,1422,'1993',Yes,0,94
1673,1182,'1993',Yes,0,107
2656,953,'1966',No,0,94
3931,1382,'1980',No,1,93
3169,1302,'1985',Yes,0,92
3123,1212,'1952',Yes,1,97
4360,1114,'1979',Yes,0,0
4373,1297,'1987',No,1,0
4131,897,'1991',Yes,1,0
2302,1132,'1985',No,0,99
4711,926,'1983',Yes,1,0
1769,1040,'1992',Yes,1,95
3821,910,'1981',Yes,1,0
3886,865,'1990',No,1,0
5313,1217,'1990',No,1,0
3527,1264,'1986',No,1,93
3347,984,'1992',Yes,0,0
2974,1246,'1985',No,0,96
1282,897,'1988',Yes,0,103
2548,917,'1966',Yes,0,32
2936,1283,'1974',Yes,0,91
2752,1404,'1968',Yes,0,93
4004,880,'1983',Yes,1,0
4626,1367,'1991',No,1,37
3568,1018,'1980',Yes,0,0
3028,1154,'1953',Yes,0,58
2848,793,'1988',No,0,93
3143,1062,'1976',No,1,61
3071,1353,'1977',Yes,0,23
3924,1220,'1979',No,1,0
4099,1319,'1977',Yes,1,0
3459,933,'1990',Yes,1,0
1760,1277,'1978',No,0,113
3531,1244,'1976',Yes,1,0
2084,1024,'1987',No,1,93
3788,1250,'1989',Yes,1,0
3985,1040,'1978',No,1,0
2161,1070,'1960',No,1,105
3351,896,'1951',Yes,0,0
4234,882,'1978',No,1,0
4878,895,'1986',Yes,0,0
4208,1141,'1980',No,1,0
2267,860,'1971',Yes,0,85
3185,1067,'1991',No,1,0
3469,960,'1981',Yes,0,0
3068,1231,'1987',Yes,0,45
3341,1010,'1983',No,1,92
4197,1283,'1951',Yes,1,24
3771,1112,'1988',Yes,1,0
4353,1072,'1990',Yes,1,0
2646,865,'1991',No,0,94
4624,1302,'1979',No,1,0
3865,1212,'1980',No,0,69
2591,1319,'1964',Yes,1,94
3971,1128,'1962',No,1,0
4606,1185,'1965',Yes,0,0
3914,1252,'1960',Yes,0,0
5018,1598,'1969',Yes,1,0
2893,837,'1954',Yes,1,0
4384,886,'1955',Yes,0,0
3369,1017,'1968',Yes,1,0
4064,1125,'1979',Yes,0,0
3265,1010,'1996',Yes,1,0
4425,1224,'1981',Yes,1,0
3048,1165,'1986',Yes,0,0
2994,997,'1970',No,1,67
5344,1028,'1991',No,1,0
3018,1094,'1974',Yes,1,0
2995,822,'1980',Yes,1,0
1600,935,'1996',No,1,100
5345,1435,'1985',No,1,0
3600,931,'1986',Yes,0,0
3326,1033,'1962',Yes,0,0
767,718,'1987',No,0,120
4718,950,'1974',No,0,0
3039,1278,'1984',Yes,1,0
4767,1104,'1982',No,1,0
3221,1111,'1986',Yes,0,0
3530,705,'1985',No,1,0
3337,1010,'1988',Yes,1,0
2498,1200,'1971',No,0,104
4051,1006,'1992',No,1,92
4697,1271,'1985',Yes,0,0
1642,1156,'1943',No,1,115
4370,1034,'1987',No,1,0
1935,969,'1985',Yes,0,95
2401,649,'1982',No,1,0
2941,797,'1952',Yes,0,0
2226,900,'1988',No,0,96
3164,810,'1988',No,0,0
2887,1165,'1989',No,0,96
5054,1257,'1987',No,1,0
1769,1159,'1976',No,1,105
1685,1104,'1987',Yes,0,96
2938,709,'1983',No,1,64
1382,1070,'1968',No,1,114
2223,1322,'1986',Yes,0,101
3995,1317,'1984',No,1,6
4566,941,'1974',Yes,0,0
4022,1316,'1988',No,0,93
4160,1166,'1987',Yes,0,0
4424,1013,'1979',Yes,1,0
2979,1282,'1984',No,1,101
2292,872,'1983',No,1,95
2958,1046,'1985',Yes,1,92
3905,1165,'1950',Yes,0,38
3646,1367,'1990',Yes,1,0
2271,1132,'1992',No,1,99
3116,882,'1988',Yes,1,0
3168,964,'1987',Yes,1,0
5776,1049,'1993',No,0,0
4436,1408,'1982',Yes,1,0
2372,1122,'1983',No,1,94
2694,1066,'1977',No,1,93
4263,1281,'1970',No,1,65
4135,1353,'1981',No,0,0
5004,1183,'1964',No,0,0
4255,1447,'1947',No,1,94
3738,802,'1992',No,1,0
3381,944,'1988',No,1,36
3860,1243,'1986',Yes,1,79
3511,1272,'1987',No,1,94
2653,816,'1971',No,0,64
4179,929,'1975',Yes,0,0
1994,850,'1975',No,1,95
2500,857,'1998',Yes,1,0
4144,1320,'1974',Yes,1,0
5087,1355,'1978',No,1,0
3219,1040,'1987',No,1,68
3725,1165,'1974',Yes,1,14
5109,1337,'1966',Yes,1,0
4046,1132,'1975',Yes,1,0
4473,1127,'1993',No,1,91
2893,1103,'1996',No,0,93
3191,1435,'1990',Yes,1,97
2798,1276,'1969',Yes,1,94
3527,858,'1983',Yes,1,0
3566,1128,'1975',Yes,1,0
2369,1140,'1970',No,1,103
3608,875,'1996',No,1,80
3118,1077,'1986',Yes,1,0
2749,1143,'1971',No,1,97
5298,1471,'1971',No,1,92
3178,790,'1979',No,1,24
5033,1226,'1982',Yes,0,0
2804,760,'1967',No,1,30
4842,1195,'1989',Yes,1,0
5277,1295,'1982',Yes,1,0
2075,1049,'1980',Yes,1,97
3126,864,'1985',Yes,1,0
2734,912,'1974',Yes,1,0
3073,907,'1977',Yes,1,0
2560,883,'1992',Yes,1,0
1732,952,'1966',No,1,106
1747,684,'1950',Yes,0,92
2919,943,'1976',Yes,1,0
4267,1466,'1963',Yes,0,0
3135,1062,'1970',No,1,2
3563,1172,'1973',Yes,1,0
1670,1047,'1983',No,1,103
3849,1199,'1976',Yes,1,0
3199,1028,'1985',Yes,0,0
4663,1073,'1986',Yes,1,0
1443,1054,'1976',Yes,1,107
2005,856,'1989',Yes,1,93
2698,917,'1984',Yes,1,0
4786,1416,'1986',No,0,29
4386,1276,'1990',Yes,1,0
2674,1287,'1994',Yes,1,91
2125,692,'1987',Yes,1,0
3282,916,'1939',Yes,1,0
4178,889,'1975',Yes,0,0
4501,1287,'1996',No,0,0
3030,826,'1972',Yes,0,0
1716,1074,'1988',No,0,103
3518,886,'1980',No,1,0
3274,640,'1965',Yes,1,0
4580,1225,'1945',No,1,92
4337,870,'1975',No,1,0
5846,1092,'1976',Yes,1,0
3147,726,'1991',No,1,0
2953,1045,'1980',Yes,1,54
4101,1055,'1991',No,0,0
4163,1150,'1982',Yes,1,0
2939,740,'1973',Yes,0,0
3066,1154,'1979',Yes,0,93
3198,1000,'1976',No,1,0
2440,896,'1994',Yes,1,69
2124,1081,'1978',Yes,1,0
3561,916,'1978',No,1,0
3345,1546,'1989',Yes,1,96
3314,1183,'1950',No,0,98
3203,1159,'1986',Yes,1,0
1416,969,'1978',Yes,1,102
5038,1513,'1974',No,0,36
5014,1507,'1967',No,1,0
5204,1355,'1986',No,0,0
3174,987,'1983',Yes,0,0
3970,992,'1989',No,0,0
4165,950,'1968',Yes,0,0
3882,1279,'1968',Yes,1,92
2623,1112,'1944',Yes,1,95
1688,1094,'1985',Yes,0,99
2666,1022,'1995',No,1,94
4303,959,'1992',Yes,1,0
2804,1270,'1971',Yes,0,92
4434,1301,'1996',Yes,0,0
3520,663,'1990',No,1,0
2952,1023,'1988',No,1,98
3317,1346,'1973',No,0,92
2682,1181,'1993',No,1,94
4161,878,'1977',Yes,1,0
3585,1384,'1983',No,1,94
4603,1206,'1984',No,0,0
4802,1528,'1969',Yes,1,80
4088,862,'1979',Yes,0,0
3480,1187,'1987',No,0,11
2430,782,'1988',Yes,1,0
3300,959,'1985',Yes,1,0
4664,1416,'1968',Yes,1,0
3865,1131,'1990',No,0,94
4503,1115,'1987',No,1,0
4854,1063,'1987',No,1,0
3253,1119,'1981',Yes,1,91
4218,1386,'1987',Yes,1,0
4529,1487,'1988',No,1,91
4540,1223,'1978',No,1,63
4305,1372,'1989',Yes,0,0
3480,745,'1981',Yes,1,0
3809,1231,'1982',Yes,1,0
2773,1152,'1993',No,1,93
2053,916,'1993',Yes,1,94
3126,718,'1991',Yes,0,0
5124,1280,'1990',Yes,1,0
3626,986,'1973',Yes,0,0
3701,1384,'1965',No,0,92
3055,939,'1989',No,0,0
2822,1065,'1986',Yes,1,0
5218,1383,'1998',No,1,54
3648,1382,'1990',Yes,1,0
2416,1221,'1980',No,0,100
2511,1100,'1986',No,1,99
2795,855,'1982',Yes,1,0
4251,1130,'1981',No,1,0
3950,1200,'1988',Yes,1,0
3573,762,'1975',Yes,1,0
4578,894,'1993',No,1,0
3005,1642,'1981',Yes,1,98
4442,1130,'1976',Yes,0,0
2416,1083,'1967',Yes,1,92
2780,1046,'1972',No,1,95
4186,986,'1984',No,0,0
2648,409,'1978',No,0,0
2436,1039,'1983',Yes,0,92
2152,835,'1991',Yes,1,0
4178,879,'1983',No,1,0
3152,895,'1985',No,1,92
3539,389,'1988',No,1,0
2454,1303,'1984',Yes,0,95
3221,1254,'1983',Yes,1,0
3351,1294,'1973',Yes,1,92
2948,915,'1985',No,0,93
3619,1221,'1992',No,1,96
4131,1360,'1986',Yes,0,13
3406,1287,'1987',Yes,1,0
3404,1154,'1987',Yes,1,0
4317,1294,'1994',Yes,0,0
3439,1144,'1993',Yes,0,0
2570,1142,'1985',No,1,94
3967,1104,'1986',Yes,1,0
4138,1183,'1983',Yes,0,0
4259,1118,'1969',Yes,1,0
2183,1113,'1992',Yes,1,93
3767,1160,'1941',Yes,0,0
3983,1280,'1988',No,1,50
2569,1019,'1977',No,0,94
3899,773,'1971',No,1,0
2833,856,'1969',No,0,95
3157,951,'1987',No,1,0
5003,1331,'1964',No,1,0
4216,1564,'1992',No,1,68
1806,920,'1976',No,0,100
4082,1128,'1975',Yes,1,0
4284,1002,'1985',Yes,1,0
2619,647,'1979',No,1,14
4261,1318,'1992',No,0,93
4518,1103,'1995',Yes,1,0
3471,893,'1989',Yes,0,0
5333,1408,'1992',Yes,1,0
4370,1474,'1980',Yes,1,0
3856,1167,'1977',Yes,1,0
3779,1096,'1980',Yes,0,0
3043,939,'1984',Yes,1,0
2460,748,'1990',No,1,44
2848,580,'1970',Yes,1,0
2306,867,'1999',No,1,96
4085,1070,'1975',No,0,92
3217,1060,'1961',Yes,1,0
4025,1061,'1985',No,1,15
3723,1136,'1962',Yes,1,91
4093,1060,'1995',Yes,1,0
1994,1014,'1960',Yes,1,98
2315,1029,'1971',No,1,96
2312,1254,'1966',Yes,1,96
649,621,'1968',Yes,1,116
3904,953,'1954',No,0,0
3772,858,'1961',No,1,0
3172,1111,'1980',Yes,1,0
4140,1419,'1988',No,1,91
3709,1108,'1991',Yes,1,11
3527,1215,'1991',No,1,93
3018,1181,'1990',Yes,1,86
1841,1344,'1952',No,0,112
3332,1178,'1991',No,1,92
2853,1116,'1965',Yes,1,36
4647,1042,'1981',No,1,0
5143,1194,'1966',No,1,91
4447,903,'1985',Yes,1,0
3643,956,'1963',No,1,0
3515,907,'1982',No,1,9
5142,1495,'1994',No,0,92
1908,798,'1991',No,1,95
2948,996,'1977',No,0,70
3221,903,'1987',Yes,1,0
2887,1123,'1966',Yes,1,90
3590,1103,'1975',Yes,0,0
5552,898,'1990',Yes,0,0
4317,907,'1976',Yes,0,0
2575,992,'1928',No,0,101
4449,1306,'1978',Yes,1,0
4676,986,'1988',No,0,5
2653,825,'1958',Yes,0,55
2250,952,'1983',Yes,1,19
1903,924,'1977',Yes,1,61
4014,873,'1971',No,1,0
2980,905,'1988',Yes,1,0
4299,850,'1987',Yes,1,0
2807,1240,'1966',Yes,1,34
3301,1098,'1981',No,0,91
3454,1159,'1980',Yes,1,0
3045,956,'1983',No,1,0
2012,554,'1979',Yes,0,0
4119,1455,'1984',Yes,0,0
1993,817,'1987',Yes,1,0
2581,650,'1966',Yes,1,0
2243,966,'1983',Yes,1,42
2238,1293,'1989',Yes,1,93
2873,778,'1934',No,0,94
3139,1117,'1991',Yes,1,0
4581,1359,'1987',Yes,1,0
3412,1347,'1964',Yes,1,0
3965,1233,'1970',No,0,0
4346,779,'1969',Yes,1,0
2799,1462,'1990',No,1,101
3275,841,'1962',No,1,92
4239,970,'1987',Yes,1,0
4555,1439,'1988',No,1,91
2542,920,'1970',Yes,0,0
3472,1138,'1981',No,1,0
1778,989,'1980',No,0,101
3945,1230,'1980',Yes,1,0
3006,1026,'1979',Yes,1,0
3302,936,'1988',Yes,0,0
4147,911,'1983',Yes,1,0
5736,1571,'1961',Yes,1,0
4254,1189,'1977',Yes,1,0
3960,1272,'1991',Yes,0,0
3493,906,'1984',Yes,1,0
4085,891,'1985',Yes,0,0
5494,1357,'1987',Yes,0,0
2865,663,'1950',Yes,0,0
3201,1015,'1986',Yes,1,0
